ability_id,icon
814776770887680,antitoxinprobe
1412477304700928,riflerangefinderdevice
814789655789568,criticalblade
2305791847563264,ballisticshield
1787720007417856,abl_ag_op_carbine_burst
2278037768896512,coveredescape
881945764429824,rushedshot
4503024101752832,rushedshot
4503019806785536,xpbonus
3465720780292096,toxicdart
3469564776022016,abl_ag_sn_countermeasures
3200519434665984,disengagesniper
996514017050624,concussionmissiles
814802540691456,hamstring
1685950757339136,emergencystimpak
987747988799488,sonicgrenade
785128611643392,smokegrenade
2043584094142464,entrench
814806835658752,escape
814811130626048,evasion
3202400630341632,newrolloperative
814819720560640,flashbang
1624614329384960,remotedetonationmine
4311283876757504,energycollectormodule
3704525256916992,op_teleport
3650206805524480,snipe_imperial_preparation
2144558775271424,abl_ag_op_infiltrate
1014376786034688,koltoinjection
814832605462528,surgicalprobe
814836900429824,lazetarget
814841195397120,cripplingfire
3908961405239296,abl_ag_sn_maim
4011542404136960,abl_ag_op_noxious_knives
2145301804613632,orbitalbombardment
866410867720192,fearsomecry
814866965200896,spyrecuperate
814875555135488,resuscitationprobe
948041016147968,rifleshot
2299572734918656,reactiveshots
1223726376943616,severtendon
987812413308928,perforatingshot
784716294782976,shieldprobe
814884145070080,Shiv
1791387909488640,acidblade
3202911731449856,opportunity
2278218157522944,stockstrike
3403443754500096,abl_ag_op_crippling_slice
2278269697130496,aimboost
3403452344434688,stealthspeed
2176972893454336,finishingstrikes
4474870591127552,agesmu_advanced_stealth_imp
4474866296160256,agesmu_taccrit_7_0_imp
4474887770996736,evasion
4474844821323776,upgrade_buff
4474836231389184,upgrade_damageDirect_weapon
4474840526356480,upgrade_cooldown
4474862001192960,upgrade_debuff
4474853411258368,abl_ag_op_crippling_slice
4474857706225664,upgrade_critChance
3202950386155520,fadeaway
2278196682686464,hiltstrike
3403456639401984,abl_ag_op_veiled_strike
3403448049467392,abl_ag_op_volatile_substance
1794136688558080,democharge
4085488856072192,abl_ag_sn_conductive_conduit
2302776780521472,electrostaves
3394870999777280,abl_ag_sn_EMPDischarge
2302746715750400,ionclip
2302609276796928,utilitybeltwithmanyslots
3394789395398656,abl_sm_gs_extra_shrapnel
2302695176142848,shrapnelburst
879630777057280,sonicprobe
2302720945946624,surveyorskit
4476764671705088,agessmu_eff_systems_imp
4476768966672384,agesmu_lazer_targeting_imp
4476773261639680,abl_ag_sn_countermeasures
4476777556606976,upgrade_cooldown
4476781851574272,upgrade_debuff
4476786146541568,upgrade_damageDirect_tech
4476790441508864,upgrade_build_energy
4476794736476160,upgrade_critChance
4476799031443456,upgrade_damageSustained
993073748246528,plasmaprobe
3199136455196672,scatterbombs
4477426096668672,Black_Panel_Buttons_6_0
2513359027044352,stimulants
3440822854877184,abl_ag_op_corrosive_assault
1703989619982336,stickygrenade
3202769997529088,focusedsights
2291554030977024,assassinstraining
3403731517308928,abl_ag_op_lethal_strike
4474952195506176,agesmu_tac_stims_imp
4474956490473472,agesmu_stim_burst_7_0_imp
4474896360931328,evasion
4474909245833216,upgrade_damageDirect_weapon
4474917835767808,upgrade_build_energy
4474904950865920,upgrade_damageSustained
4474939310604288,upgrade_damageDirect_tech
4474930720669696,upgrade_lessCost_energy
4474935015636992,upgrade_critChance
3202812947202048,trenchhealer
3440831444811776,abl_ag_op_toxic_blast
3394042071089427,ambush
3394042071089152,ambush
4477219938238464,rifleflashguard
3909343657328640,abl_ag_sn_finish_the_job
2300994369093632,followthrough
3394703496052736,abl_agsm_sngs_honed_shot
3651366446694400,snipe_pass_markmans_finesse
4476369534713856,agesmu_bal_redistribute_imp
4476365239746560,agesmu_focused_laze_imp
4476330880008192,abl_ag_sn_countermeasures
4476335174975488,upgrade_build_energy
4476343764910080,upgrade_increaseTargets
4476339469942784,upgrade_damageDirect_weapon
4476360944779264,upgrade_critChance
4476352354844672,upgrade_debuff
4476356649811968,upgrade_cooldown
3198934591733760,rifleflashguard
3394699201085440,abl_ag_sn_penetrating_blast
2301071678504960,boltaction
2301299311771648,abl_ag_sn_SniperVolley
3255215843180544,iaassassin
4085828158488576,abl_ag_op_curative_swell
4700291949658371,agesmu_focused_laze_imp
4700291949658376,burned
2279639791697920,cyberneticexperiement
3401961990782976,koltoinfusion
4700291949658368,agesmu_focused_laze_imp
3402082249867264,abl_ag_op_kolto_waves
2280052108558336,luminescentcells1
4474995145179136,agesmu_stim_burst_7_0_imp
4474999440146432,agesmu_tac_stims_imp
4474965080408064,evasion
4474977965309952,upgrade_buff
4838525472080141,movementslowed
4830231890231591,overcome
